date,users,sessions,marketing_cost,clicks,impressions,click_through_rate,avg_time_on_page,bouce_rate,units_sold,is_campaign_period,day_of_week,month_number
2022-01-01,3215,17209,173.8,79,4092.45,0.019,167,35,119,0,6,1
2022-01-02,4463,19282,132,60,5127.91,0.012,215,47,109,0,7,1
2022-01-03,4848,25607,191.4,87,5395.91,0.016,196,33,168,0,1,1
2022-01-04,3385,18564,74.8,34,3359.82,0.01,93,35,73,0,2,1
2022-01-05,3383,23108,79.2,36,2378.92,0.015,208,30,100,0,3,1
2022-01-06,5004,31010,114.4,52,3735.95,0.014,123,33,104,0,4,1
2022-01-07,4391,22085,275,125,7792.12,0.016,231,38,322,0,5,1
2022-01-08,2250,13282,77,35,1634,0.021,175,34,48,0,6,1
2022-01-09,2932,13373,184.8,84,3997.65,0.021,66,37,175,0,7,1
2022-01-10,5046,28104,332.2,151,6441.32,0.023,76,46,346,0,1,1
2022-01-11,2668,18537,171.6,78,2750.76,0.028,77,44,122,0,2,1
2022-01-12,5017,27870,327.8,149,10902.42,0.014,199,42,275,0,3,1
2022-01-13,3848,19655,127.6,58,2343.57,0.025,150,35,100,0,4,1
2022-01-14,5201,28620,158.4,72,4657.8,0.015,108,42,197,0,5,1
2022-01-15,2770,17620,116.6,53,2040.66,0.026,208,36,149,0,6,1
2022-01-16,3081,20449,132,60,3763.68,0.016,142,33,147,0,7,1
2022-01-17,4735,24890,112.2,51,1792.64,0.028,233,32,53,0,1,1
2022-01-18,4169,22780,217.8,99,5149.13,0.019,69,50,124,0,2,1
2022-01-19,3837,16316,147.4,67,2905.02,0.023,65,41,138,0,3,1
2022-01-20,3473,19278,224.4,102,4424.46,0.023,154,31,279,0,4,1
2022-01-21,3510,18286,107.8,49,3376.25,0.015,217,34,120,0,5,1
2022-01-22,3018,12277,132,60,2033.57,0.03,216,50,111,0,6,1
2022-01-23,5562,27514,336.6,153,10335.45,0.015,66,34,409,0,7,1
2022-01-24,3874,17152,94.6,43,2030.52,0.021,237,42,48,0,1,1
2022-01-25,4350,28379,250.8,114,5823.89,0.02,156,50,153,0,2,1
2022-01-26,3738,24949,134.2,61,4774.79,0.013,91,31,101,0,3,1
2022-01-27,4438,29796,253,115,4181.58,0.028,231,48,191,0,4,1
2022-01-28,4068,19056,237.6,108,6984.09,0.015,131,50,220,0,5,1
2022-01-29,4377,22664,158.4,72,3159.42,0.023,76,30,105,0,6,1
2022-01-30,3958,24229,184.8,84,7314.36,0.011,65,35,159,0,7,1
2022-01-31,5965,27051,246.4,112,10114.91,0.011,156,39,155,0,1,1
2022-02-01,6040,32173,292.6,133,11802.34,0.011,92,42,345,0,2,2
2022-02-02,6447,29975,286,130,10536.5,0.012,163,38,367,0,3,2
2022-02-03,5576,30976,264,120,6307.67,0.019,82,49,313,0,4,2
2022-02-04,3515,20262,189.2,86,4624.25,0.019,121,39,220,0,5,2
2022-02-05,4652,24860,118.8,54,3001.53,0.018,144,35,127,0,6,2
2022-02-06,4264,22164,279.4,127,4669.25,0.027,155,49,188,0,7,2
2022-02-07,5555,31083,138.6,63,2218.9,0.028,220,40,80,0,1,2
2022-02-08,4986,21459,193.6,88,5433.78,0.016,178,44,203,0,2,2
2022-02-09,5856,24627,182.6,83,6627.68,0.013,195,37,241,0,3,2
2022-02-10,5497,26022,206.8,94,4703.92,0.02,234,42,219,0,4,2
2022-02-11,6722,39618,169.4,77,2727.23,0.028,125,50,225,0,5,2
2022-02-12,4988,20658,217.8,99,9423.34,0.011,136,39,130,0,6,2
2022-02-13,5186,22025,195.8,89,4965.49,0.018,224,33,167,0,7,2
2022-02-14,6900,46052,415.8,189,17117.33,0.011,193,31,344,0,1,2
2022-02-15,6248,35123,259.6,118,10325.12,0.011,216,49,133,0,2,2
2022-02-16,4711,31408,127.6,58,5372.06,0.011,84,48,130,0,3,2
2022-02-17,4341,20025,231,105,4742.12,0.022,108,45,223,0,4,2
2022-02-18,3823,23069,90.2,41,1703.97,0.024,221,30,87,0,5,2
2022-02-19,6105,27186,233.2,106,7903.66,0.013,90,31,199,0,6,2
2022-02-20,5368,27225,167.2,76,4217.33,0.018,109,50,163,0,7,2
2022-02-21,5157,22534,151.8,69,3206.75,0.022,133,47,150,0,1,2
2022-02-22,6235,41998,409.2,186,6409.6,0.029,214,36,337,0,2,2
2022-02-23,4268,26662,107.8,49,4849.63,0.01,199,36,135,0,3,2
2022-02-24,4304,19034,156.2,71,5022.47,0.014,216,46,147,0,4,2
2022-02-25,4833,31292,178.2,81,3341.84,0.024,230,48,87,0,5,2
2022-02-26,7328,33954,380.6,173,5841.27,0.03,188,39,491,0,6,2
2022-02-27,5244,30692,325.6,148,7945.27,0.019,102,31,330,0,7,2
2022-02-28,5022,32952,303.6,138,11941.91,0.012,140,48,155,0,1,2
2022-03-01,6274,40403,151.8,69,6846.02,0.01,118,40,94,0,2,3
2022-03-02,5440,28116,145.2,66,3429.81,0.019,153,34,98,0,3,3
2022-03-03,5185,32752,305.8,139,7763.31,0.018,208,44,143,0,4,3
2022-03-04,5329,26365,180.4,82,5534.33,0.015,148,46,113,0,5,3
2022-03-05,3859,18339,171.6,78,5396.83,0.014,138,36,145,0,6,3
2022-03-06,7465,50817,358.6,163,13589.85,0.012,188,43,263,0,7,3
2022-03-07,4321,22164,158.4,72,3462.54,0.021,188,30,76,0,1,3
2022-03-08,5138,24847,114.4,52,2132.25,0.024,140,44,121,0,2,3
2022-03-09,6167,33826,363,165,6066,0.027,140,49,302,0,3,3
2022-03-10,5924,32465,268.4,122,9064.65,0.013,168,36,314,0,4,3
2022-03-11,4734,29508,310.2,141,5734.87,0.025,215,35,251,0,5,3
2022-03-12,4680,27234,156.2,71,4441.21,0.016,109,48,139,0,6,3
2022-03-13,4595,31895,281.6,128,4337.94,0.03,176,30,171,0,7,3
2022-03-14,4880,25258,281.6,128,4306.58,0.03,94,38,374,0,1,3
2022-03-15,6279,37979,314.6,143,6357.3,0.022,96,36,369,0,2,3
2022-03-16,5998,34220,367.4,167,9345.63,0.018,128,45,209,0,3,3
2022-03-17,4312,28884,169.4,77,4824.13,0.016,63,47,96,0,4,3
2022-03-18,5084,23431,283.8,129,5746.47,0.022,116,45,184,0,5,3
2022-03-19,5322,26752,279.4,127,8367.07,0.015,103,39,139,0,6,3
2022-03-20,4649,23564,261.8,119,5119.48,0.023,211,38,254,0,7,3
2022-03-21,5233,31742,151.8,69,2998.39,0.023,131,37,196,0,1,3
2022-03-22,3549,19535,85.8,39,1701.35,0.023,165,31,58,0,2,3
2022-03-23,4314,25840,151.8,69,3743.55,0.018,100,33,91,0,3,3
2022-03-24,5690,25130,138.6,63,4111.78,0.015,194,50,98,0,4,3
2022-03-25,4561,30323,129.8,59,1971.34,0.03,135,47,176,0,5,3
2022-03-26,8494,46477,473,215,11581.42,0.019,152,32,371,0,6,3
2022-03-27,4925,34192,257.4,117,5630.99,0.021,74,48,206,0,7,3
2022-03-28,4951,34448,110,50,1758.26,0.028,181,41,92,0,1,3
2022-03-29,4517,25028,268.4,122,8794.47,0.014,127,44,260,0,2,3
2022-03-30,6800,46000,398.2,181,8337.75,0.022,143,35,365,0,3,3
2022-03-31,4651,23150,178.2,81,3508.27,0.023,238,31,84,0,4,3
2022-04-01,5526,34700,312.4,142,6996.94,0.02,92,43,167,0,5,4
2022-04-02,7212,47437,292.6,133,4964.17,0.027,194,33,234,0,6,4
2022-04-03,6287,40027,242,110,4922.92,0.022,112,39,176,0,7,4
2022-04-04,6573,36171,154,70,6245.44,0.011,219,44,132,0,1,4
2022-04-05,5168,30781,266.2,121,4389.8,0.028,148,47,139,0,2,4
2022-04-06,4841,19541,198,90,4838.46,0.019,207,43,187,0,3,4
2022-04-07,4537,26313,242,110,7854.15,0.014,197,48,207,0,4,4
